Vegetable,Price_Per_Gram_CAD
Potatoes,0.0033
Onions,0.0035
Carrots,0.0030
Tomatoes,0.0065
Bell Peppers,0.0086
Lettuce,0.0046
Cucumber,0.0042
Broccoli,0.0078
Cauliflower,0.0068
Spinach,0.0097
Cabbage,0.0026
Zucchini,0.0040
Sweet Potatoes,0.0048
Mushrooms,0.0120
Corn,0.0031
Green Beans,0.0082
Asparagus,0.0165
Celery,0.0034
Eggplant,0.0057
Kale,0.0088
Garlic,0.0250
Brussels Sprouts,0.0092
Beets,0.0046
Peas,0.0090
Ginger,0.0175
Radishes,0.0052
Bok Choy,0.0044
Leeks,0.0079
Swiss Chard,0.0074
Arugula,0.0105
Green Onions,0.0065
Turnips,0.0032
Parsnips,0.0051
Artichoke,0.0138
Fennel,0.0087
Okra,0.0109
Butternut Squash,0.0039
Collard Greens,0.0069
Radicchio,0.0125
Watercress,0.0117
Rutabaga,0.0036
Shallots,0.0158
Taro Root,0.0072
Daikon,0.0049
Endive,0.0099
Jicama,0.0063
Kohlrabi,0.0067
Rapini,0.0082
Sunchokes,0.0093
Chayote,0.0055
